Income,Income Class,Kids,Teens,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,WebPurchases,CatalogPurchases,StorePurchases,WebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Age Class,Customer_Days,Marital Status,Education,MntTotal,MntRegularProds,AcceptedCmpOverall
20193,Lower,0,0,18,8,8,22,24,11,9,1,1,1,4,4,No,No,No,No,No,No,3,11,0,29,Young,2737,Together,2nd Cycle,73,64,0
90273,Middle,0,0,32,704,129,853,120,74,111,1,5,6,7,2,No,Yes,Yes,Yes,No,No,3,11,1,29,Young,2356,Single,Graduation,1880,1769,3
51373,Lower-middle,0,0,37,83,2,101,64,26,117,1,3,5,3,4,No,No,No,No,No,No,3,11,0,29,Young,2531,Married,Graduation,276,159,0
49767,Lower-middle,0,0,92,202,47,197,55,42,149,1,5,4,8,4,No,No,No,No,No,No,3,11,0,29,Young,2582,Single,Graduation,543,394,0
73687,Middle,0,0,8,559,153,503,218,13,181,1,3,9,9,2,No,No,No,Yes,No,No,3,11,1,30,Middle,2372,Married,Graduation,1446,1265,1
24279,Lower,0,0,6,16,36,21,20,62,108,1,4,1,3,8,No,No,No,No,No,No,3,11,0,30,Middle,2706,Married,Basic,155,47,0
26095,Lower,1,0,77,11,7,9,3,1,11,1,1,0,3,7,No,No,No,No,No,No,3,11,0,30,Middle,2523,Single,Graduation,31,20,0
24683,Lower,1,0,98,8,4,10,6,7,6,2,2,0,4,5,No,No,No,No,No,No,3,11,0,30,Middle,2272,Married,2nd Cycle,35,29,0
74214,Middle,0,0,3,863,83,547,86,99,33,1,8,2,5,5,No,No,No,No,No,No,3,11,0,30,Middle,2831,Married,PhD,1678,1645,0
18351,Lower,0,0,1,1,12,9,0,14,7,1,2,0,3,7,No,No,No,No,No,No,3,11,0,30,Middle,2402,Married,Graduation,36,29,0
18929,Lower,0,0,15,32,0,8,23,4,18,1,1,0,4,6,No,No,No,No,No,No,3,11,0,30,Middle,2657,Married,Graduation,67,49,0
34412,Lower-middle,1,0,62,52,12,50,4,36,55,3,5,0,3,9,No,No,No,No,No,No,3,11,0,30,Middle,2660,Single,Graduation,154,99,0
35765,Lower-middle,1,0,86,22,3,30,0,5,15,2,2,0,4,6,No,No,No,No,No,No,3,11,0,30,Middle,2359,Married,Graduation,60,45,0
51250,Lower-middle,1,0,28,342,32,230,34,32,40,5,10,5,4,9,Yes,No,No,No,No,No,3,11,0,30,Middle,2615,Single,2nd Cycle,670,630,1
64509,Middle,0,0,19,836,185,575,24,25,77,1,6,3,9,4,Yes,No,No,No,No,No,3,11,1,30,Middle,2475,Single,Graduation,1645,1568,1
18222,Lower,0,0,70,12,4,19,12,6,14,1,2,0,3,8,No,No,No,No,No,No,3,11,0,30,Middle,2704,Married,Graduation,53,39,0
30093,Lower-middle,0,0,19,2,6,28,13,4,16,1,2,0,3,7,No,No,No,No,No,No,3,11,0,30,Middle,2515,Married,Graduation,53,37,0
18929,Lower,0,0,15,32,0,8,23,4,18,1,1,0,4,6,No,No,No,No,No,No,3,11,0,30,Middle,2657,Married,Graduation,67,49,0
96843,Upper-middle,0,0,60,448,71,951,40,17,17,1,6,11,10,2,No,No,Yes,No,No,No,3,11,1,30,Middle,2591,Single,Graduation,1527,1510,1
91172,Middle,0,0,94,162,28,818,0,28,56,0,4,3,7,3,Yes,No,Yes,Yes,Yes,No,3,11,1,30,Middle,2618,Single,Master,1036,980,4
16185,Lower,1,0,71,5,11,16,21,8,45,2,2,2,2,8,No,No,No,No,No,No,3,11,0,30,Middle,2487,Single,Basic,61,16,0
18929,Lower,0,0,15,32,0,8,23,4,18,1,1,0,4,6,No,No,No,No,No,No,3,11,0,30,Middle,2657,Married,Graduation,67,49,0
38360,Lower-middle,1,0,26,36,2,42,20,21,10,2,2,1,4,3,No,No,No,No,No,No,3,11,0,31,Middle,2553,Married,Graduation,121,111,0
10979,Lower,0,0,34,8,4,10,2,2,4,2,3,0,3,5,No,No,No,No,No,No,3,11,0,31,Middle,2197,Divorced,Master,26,22,0
66973,Middle,0,0,98,466,22,432,147,113,102,1,8,7,12,3,No,No,No,No,No,No,3,11,0,31,Middle,2567,Together,PhD,1180,1078,0
33996,Lower-middle,0,0,46,40,2,15,8,0,6,1,1,1,3,4,No,No,No,No,No,No,3,11,0,31,Middle,2450,Single,PhD,65,59,0
30279,Lower-middle,1,0,13,10,4,14,4,4,1,1,1,0,3,8,No,No,No,No,No,No,3,11,0,31,Middle,2705,Single,Graduation,36,35,0
75433,Middle,1,0,28,800,0,297,0,34,57,2,2,5,10,6,No,Yes,No,Yes,No,No,3,11,0,31,Middle,2244,Married,Graduation,1131,1074,2
10404,Lower,1,0,52,2,2,11,10,6,12,2,1,0,4,5,No,No,No,No,No,No,3,11,0,31,Middle,2215,Together,2nd Cycle,31,19,0
42387,Lower-middle,1,0,42,235,0,235,19,4,191,5,8,1,7,8,No,No,No,No,No,No,3,11,0,31,Middle,2767,Married,Graduation,493,302,0
28691,Lower,1,0,56,5,4,13,8,0,4,1,1,0,3,8,No,No,No,No,No,No,3,11,0,31,Middle,2519,Married,Graduation,30,26,0
30279,Lower-middle,1,0,13,10,4,14,4,4,1,1,1,0,3,8,No,No,No,No,No,No,3,11,0,31,Middle,2705,Single,Graduation,36,35,0
81217,Middle,0,0,77,493,70,324,146,40,84,1,3,7,11,1,No,No,No,No,No,No,3,11,0,31,Middle,2504,Single,Graduation,1073,989,0
21474,Lower,1,0,0,6,16,24,11,0,34,2,3,1,2,7,Yes,No,No,No,No,No,3,11,1,31,Middle,2241,Single,Graduation,57,23,1
77845,Middle,0,0,40,760,40,480,0,40,26,1,3,5,12,1,No,No,Yes,Yes,No,No,3,11,0,31,Middle,2203,Together,PhD,1320,1294,2
17487,Lower,1,0,37,0,0,1,7,4,6,1,1,0,2,7,No,No,No,No,No,No,3,11,0,31,Middle,2627,Married,Basic,12,6,0
85710,Middle,0,0,5,600,20,350,29,30,33,1,6,9,10,2,No,No,Yes,No,No,No,3,11,0,31,Middle,2579,Married,2nd Cycle,1029,996,1
38683,Lower-middle,1,0,80,46,35,69,84,41,66,6,4,1,6,7,No,No,No,No,No,No,3,11,0,31,Middle,2792,Together,2nd Cycle,275,209,0
46107,Lower-middle,1,0,78,31,9,27,16,9,33,1,1,1,4,3,No,No,No,No,No,No,3,11,0,31,Middle,2298,Single,Graduation,92,59,0
25443,Lower,1,0,82,1,4,3,8,9,7,1,1,0,3,8,No,No,No,No,No,No,3,11,0,31,Middle,2713,Married,Basic,25,18,0
64449,Middle,1,0,70,218,63,282,137,35,70,4,5,3,12,4,No,No,No,No,No,No,3,11,0,31,Middle,2290,Single,Graduation,735,665,0
10979,Lower,0,0,34,8,4,10,2,2,4,2,3,0,3,5,No,No,No,No,No,No,3,11,0,31,Middle,2197,Divorced,Master,26,22,0
37155,Lower-middle,1,0,51,23,0,26,7,15,3,1,2,0,4,5,No,No,No,No,No,No,3,11,0,31,Middle,2673,Married,Graduation,71,68,0
28691,Lower,1,0,56,5,4,13,8,0,4,1,1,0,3,8,No,No,No,No,No,No,3,11,0,31,Middle,2519,Married,Graduation,30,26,0
59060,Middle,1,0,77,35,40,111,36,40,12,3,3,1,7,4,No,No,No,No,No,No,3,11,0,31,Middle,2328,Married,2nd Cycle,262,250,0
9255,Lower,1,0,91,9,0,7,2,0,4,1,1,1,2,8,No,No,No,No,No,No,3,11,0,31,Middle,2350,Single,Graduation,18,14,0
31928,Lower-middle,1,0,5,33,4,24,4,2,5,2,3,0,4,7,No,No,No,No,No,No,3,11,0,31,Middle,2252,Together,Graduation,67,62,0
33996,Lower-middle,0,0,46,40,2,15,8,0,6,1,1,1,3,4,No,No,No,No,No,No,3,11,0,31,Middle,2450,Single,PhD,65,59,0
81217,Middle,0,0,77,493,70,324,146,40,84,1,3,7,11,1,No,No,No,No,No,No,3,11,0,31,Middle,2504,Single,Graduation,1073,989,0
18358,Lower,1,0,49,6,8,19,16,4,4,3,3,0,4,7,No,No,No,No,No,No,3,11,0,31,Middle,2380,Single,Graduation,53,49,0
88420,Middle,0,0,87,957,153,612,99,95,153,1,4,7,8,1,Yes,No,Yes,Yes,No,No,3,11,0,31,Middle,2217,Together,Master,1916,1763,3
27938,Lower,1,0,31,13,0,8,2,1,5,1,1,0,4,3,No,No,No,No,No,No,3,11,0,32,Middle,2221,Single,Graduation,24,19,0
41883,Lower-middle,1,0,13,32,34,41,73,16,116,3,4,2,3,7,No,No,No,No,No,No,3,11,0,32,Middle,2626,Together,Graduation,196,80,0
34176,Lower-middle,1,0,12,5,7,24,19,14,20,4,3,0,4,6,No,No,No,No,No,No,3,11,0,32,Middle,2207,Single,Graduation,69,49,0
66951,Middle,0,0,46,277,162,305,173,76,124,1,3,4,7,1,No,No,No,No,No,No,3,11,0,32,Middle,2398,Single,Graduation,993,869,0
16248,Lower,1,0,77,12,11,10,3,12,9,3,2,1,3,6,No,No,No,No,No,No,3,11,0,32,Middle,2209,Married,2nd Cycle,48,39,0
38872,Lower-middle,1,0,93,23,3,21,3,19,22,2,3,0,3,8,No,No,No,No,No,No,3,11,0,32,Middle,2554,Married,Graduation,69,47,0
29604,Lower,1,0,88,7,6,13,7,6,14,1,1,0,3,9,Yes,No,No,No,No,No,3,11,0,32,Middle,2362,Together,Graduation,39,25,1
45204,Lower-middle,1,0,93,30,11,25,29,1,18,1,1,1,4,3,No,No,No,No,No,No,3,11,0,32,Middle,2238,Together,2nd Cycle,96,78,0
67546,Middle,0,0,90,864,134,768,150,38,172,1,4,10,5,3,No,No,No,No,No,No,3,11,0,32,Middle,2826,Married,PhD,1954,1782,0
35388,Lower-middle,1,0,20,6,4,7,4,3,8,1,1,0,3,7,No,No,No,No,No,No,3,11,0,32,Middle,2638,Divorced,2nd Cycle,24,16,0
39747,Lower-middle,1,0,43,80,15,93,20,13,52,3,5,1,4,8,No,No,No,No,No,No,3,11,0,32,Middle,2236,Single,Graduation,221,169,0
68655,Middle,0,0,95,456,19,832,75,118,38,1,4,5,11,3,No,No,No,No,No,No,3,11,0,32,Middle,2847,Single,Graduation,1500,1462,0
20518,Lower,1,0,58,4,1,6,4,1,9,1,1,1,2,5,No,No,No,No,No,No,3,11,0,32,Middle,2201,Single,Graduation,16,7,0
90247,Middle,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,No,Yes,Yes,Yes,No,No,3,11,1,32,Middle,2220,Single,Master,1605,1589,3
78285,Middle,0,0,13,647,107,391,175,67,40,1,6,4,10,3,No,No,No,No,No,No,3,11,0,32,Middle,2403,Married,Master,1387,1347,0
34176,Lower-middle,1,0,12,5,7,24,19,14,20,4,3,0,4,6,No,No,No,No,No,No,3,11,0,32,Middle,2207,Single,Graduation,69,49,0
84219,Middle,0,0,27,434,137,400,45,137,45,1,3,4,10,1,No,No,No,No,No,No,3,11,0,32,Middle,2306,Married,Graduation,1153,1108,0
15716,Lower,1,0,8,16,5,30,8,7,26,3,3,0,4,8,No,No,No,No,No,Yes,3,11,0,32,Middle,2753,Married,2nd Cycle,66,40,0
87679,Middle,0,0,62,1259,172,815,97,148,33,1,7,11,10,4,Yes,No,Yes,Yes,No,No,3,11,1,32,Middle,2496,Together,Graduation,2491,2458,3
68487,Middle,0,0,48,758,12,385,33,89,89,1,9,7,13,4,No,No,No,No,No,No,3,11,0,32,Middle,2691,Married,Graduation,1277,1188,0
84219,Middle,0,0,27,434,137,400,45,137,45,1,3,4,10,1,No,No,No,No,No,No,3,11,0,32,Middle,2306,Married,Graduation,1153,1108,0
23331,Lower,1,0,92,5,36,7,0,10,45,2,3,0,3,8,No,No,No,No,No,No,3,11,0,32,Middle,2822,Married,2nd Cycle,58,13,0
23331,Lower,1,0,97,104,20,101,24,15,5,6,5,1,5,9,No,No,No,No,No,No,3,11,0,32,Middle,2791,Single,2nd Cycle,264,259,0
24645,Lower,1,0,16,5,3,4,4,1,0,1,1,0,2,8,No,No,No,No,No,No,3,11,0,32,Middle,2764,Married,Graduation,17,17,0
13724,Lower,1,0,43,2,7,5,2,15,27,1,2,0,2,9,Yes,No,No,No,No,No,3,11,0,32,Middle,2826,Together,Basic,31,4,1
68655,Middle,0,0,95,456,19,832,75,118,38,1,4,5,11,3,No,No,No,No,No,No,3,11,0,32,Middle,2847,Single,Graduation,1500,1462,0
25008,Lower,1,0,72,2,8,8,6,1,9,2,1,0,3,8,No,No,No,No,No,No,3,11,0,32,Middle,2306,Single,Graduation,25,16,0
67546,Middle,0,0,90,864,134,768,150,38,172,1,4,10,5,3,No,No,No,No,No,No,3,11,0,32,Middle,2826,Married,PhD,1954,1782,0
68487,Middle,0,0,48,758,12,385,33,89,89,1,9,7,13,4,No,No,No,No,No,No,3,11,0,32,Middle,2691,Married,Graduation,1277,1188,0
17323,Lower,0,0,38,3,14,17,6,1,5,1,1,0,3,8,No,No,No,No,No,No,3,11,0,33,Middle,2786,Married,Graduation,41,36,0
81361,Middle,0,0,18,163,23,424,27,65,76,1,3,10,13,1,No,No,No,No,No,No,3,11,0,33,Middle,2283,Divorced,Graduation,702,626,0
23442,Lower,1,0,71,2,0,6,8,6,5,1,1,0,3,7,No,No,No,No,No,No,3,11,0,33,Middle,2711,Single,Graduation,22,17,0
46923,Lower-middle,1,0,90,85,44,54,102,78,6,3,5,1,7,7,No,No,No,No,No,No,3,11,0,33,Middle,2835,Single,Graduation,363,357,0
73454,Middle,0,0,95,982,73,351,56,14,175,1,2,4,6,5,Yes,No,No,No,No,No,3,11,0,33,Middle,2279,Single,Master,1476,1301,1
25545,Lower,1,0,35,32,1,64,16,12,85,3,2,2,3,6,No,No,No,No,No,No,3,11,1,33,Middle,2818,Married,Graduation,125,40,0
21063,Lower,1,0,34,1,10,11,19,3,15,2,2,0,3,6,No,No,No,No,No,No,3,11,0,33,Middle,2436,Single,Basic,44,29,0
67430,Middle,0,0,6,595,97,291,127,133,121,1,11,5,12,6,No,No,No,No,No,No,3,11,0,33,Middle,2821,Together,Graduation,1243,1122,0
7500,Lower,0,0,94,0,2,3,4,1,5,1,0,0,3,6,No,No,No,No,No,No,3,11,0,33,Middle,2695,Married,Graduation,10,5,0
51563,Lower-middle,0,0,60,1166,0,48,0,0,36,1,4,4,10,8,No,Yes,Yes,No,No,No,3,11,0,33,Middle,2795,Married,PhD,1214,1178,2
95169,Upper-middle,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,No,No,Yes,Yes,No,No,3,11,1,33,Middle,2422,Single,PhD,1881,1861,2
22434,Lower,1,0,25,4,12,11,3,13,15,2,2,0,3,8,No,No,No,No,No,No,3,11,0,33,Middle,2660,Together,Graduation,43,28,0
15038,Lower,1,0,93,4,8,11,19,12,26,2,2,1,2,9,No,No,No,No,No,No,3,11,0,33,Middle,2675,Single,Basic,54,28,0
67605,Middle,0,0,84,336,28,282,184,54,54,1,2,8,6,1,No,No,No,No,No,No,3,11,0,33,Middle,2614,Together,Graduation,884,830,0
42000,Lower-middle,0,0,23,124,83,267,85,59,35,2,5,2,11,5,No,No,No,No,No,No,3,11,1,33,Middle,2694,Single,PhD,618,583,0
18227,Lower,1,0,21,1,2,7,4,3,11,1,0,1,2,8,No,No,No,No,No,No,3,11,0,33,Middle,2757,Together,Graduation,17,6,0
41020,Lower-middle,0,0,68,112,1,54,7,7,36,1,3,2,4,3,No,No,No,No,No,No,3,11,0,33,Middle,2403,Single,Master,181,145,0
74004,Middle,0,0,5,784,48,560,42,176,48,1,4,6,4,3,No,No,Yes,Yes,No,No,3,11,1,33,Middle,2284,Single,PhD,1610,1562,2
30390,Lower-middle,0,0,5,10,12,12,25,1,20,1,2,0,3,6,No,No,No,No,No,No,3,11,0,33,Middle,2459,Married,2nd Cycle,60,40,0
81361,Middle,0,0,18,163,23,424,27,65,76,1,3,10,13,1,No,No,No,No,No,No,3,11,1,33,Middle,2283,Divorced,Graduation,702,626,0
75794,Middle,0,0,33,754,160,625,63,32,48,1,7,5,12,3,No,No,No,Yes,No,No,3,11,0,33,Middle,2346,Married,Graduation,1634,1586,1
57100,Lower-middle,1,0,9,158,11,99,15,11,17,2,3,2,7,3,No,No,No,No,No,No,3,11,0,33,Middle,2201,Single,Graduation,294,277,0
61787,Middle,0,0,71,621,73,414,78,48,85,1,8,4,6,5,No,No,No,No,No,No,3,11,0,33,Middle,2517,Divorced,Master,1234,1149,0
29236,Lower,1,0,30,37,4,24,16,9,9,2,4,0,3,9,No,No,No,No,No,No,3,11,0,33,Middle,2423,Single,Graduation,90,81,0
23830,Lower,0,0,3,1,8,6,4,8,16,1,1,0,3,7,No,No,No,No,No,No,3,11,0,33,Middle,2301,Single,2nd Cycle,27,11,0
73395,Middle,0,0,94,272,7,80,20,7,11,1,4,4,6,2,No,No,No,No,No,No,3,11,0,33,Middle,2262,Married,Master,386,375,0
42000,Lower-middle,0,0,23,124,83,267,85,59,35,2,5,2,11,5,No,No,No,No,No,No,3,11,1,33,Middle,2694,Single,PhD,618,583,0
34320,Lower-middle,1,0,66,4,1,9,3,0,0,1,1,0,2,8,No,No,No,No,No,No,3,11,0,34,Middle,2292,Together,PhD,17,17,0
69867,Middle,0,0,30,196,0,512,33,130,54,1,3,5,8,1,No,No,No,Yes,No,No,3,11,1,34,Middle,2612,Single,PhD,871,817,1
42386,Lower-middle,1,0,43,65,4,16,0,4,11,1,3,0,3,8,No,No,No,No,No,No,3,11,0,34,Middle,2691,Together,Master,89,78,0
29999,Lower,1,0,22,68,7,59,10,5,11,4,3,1,4,8,No,No,No,No,No,No,3,11,0,34,Middle,2660,Single,PhD,149,138,0
41411,Lower-middle,0,0,11,37,32,38,11,3,18,1,2,1,4,6,No,No,No,No,No,No,3,11,0,34,Middle,2363,Divorced,Graduation,121,103,0
71952,Middle,1,0,93,656,80,455,52,107,93,2,8,4,8,4,Yes,No,Yes,No,No,No,3,11,0,34,Middle,2694,Married,Graduation,1350,1257,2
92910,Middle,0,0,42,551,137,792,179,103,33,1,6,7,13,1,No,Yes,Yes,Yes,No,No,3,11,0,34,Middle,2225,Married,Graduation,1762,1729,3
7500,Lower,1,0,96,1,11,5,4,6,9,2,2,0,3,8,No,No,No,No,No,No,3,11,0,34,Middle,2666,Married,2nd Cycle,27,18,0
32880,Lower-middle,1,0,76,8,4,15,7,6,2,1,1,0,3,8,No,No,No,No,No,No,3,11,0,34,Middle,2731,Married,Graduation,40,38,0
21888,Lower,1,0,15,88,10,46,2,3,64,4,5,1,2,10,No,No,No,No,No,No,3,11,1,34,Middle,2706,Single,Master,149,85,0
71952,Middle,1,0,93,656,80,455,52,107,93,2,8,4,8,4,Yes,No,Yes,No,No,No,3,11,0,34,Middle,2694,Married,Graduation,1350,1257,2
25252,Lower,1,0,26,1,3,4,2,2,6,1,1,0,2,8,No,No,No,No,No,No,3,11,0,34,Middle,2511,Married,Graduation,12,6,0
20425,Lower,1,0,5,4,12,5,3,16,17,2,2,0,3,7,No,No,No,No,No,No,3,11,0,34,Middle,2767,Married,Basic,40,23,0
91820,Middle,0,0,72,410,73,747,76,161,30,0,5,5,12,1,No,No,No,No,No,No,3,11,0,34,Middle,2377,Together,PhD,1467,1437,0
19485,Lower,2,0,80,6,0,4,0,0,0,1,1,0,2,7,No,No,No,No,No,No,3,11,0,34,Middle,2437,Single,Master,10,10,0
21846,Lower,1,0,38,7,17,18,6,10,26,4,4,0,3,8,No,No,No,No,No,No,3,11,0,34,Middle,2409,Divorced,Graduation,58,32,0
45921,Lower-middle,0,0,23,102,9,49,24,3,12,1,2,1,6,4,No,No,No,No,No,No,3,11,0,34,Middle,2270,Married,PhD,187,175,0
83033,Middle,1,0,82,812,99,431,237,149,33,1,11,4,10,5,No,No,No,Yes,No,No,3,11,0,34,Middle,2201,Together,Graduation,1728,1695,1
14906,Lower,0,0,86,7,7,14,7,16,15,3,2,1,3,7,No,No,No,No,No,No,3,11,0,34,Middle,2713,Single,Basic,51,36,0
34728,Lower-middle,1,0,2,14,0,16,0,0,6,1,1,1,2,6,No,No,No,No,No,No,3,11,1,34,Middle,2493,Together,Graduation,30,24,0
80910,Middle,0,0,71,160,80,369,67,39,41,1,3,3,8,1,No,No,No,No,No,No,3,11,0,34,Middle,2765,Single,2nd Cycle,715,674,0
38508,Lower-middle,1,0,95,120,19,206,25,19,54,6,7,2,5,8,No,No,No,No,No,No,3,11,0,34,Middle,2490,Married,Graduation,389,335,0
26576,Lower,1,0,40,10,0,8,0,0,9,1,1,0,2,9,Yes,No,No,No,No,No,3,11,1,34,Middle,2783,Single,Graduation,18,9,1
8940,Lower,1,0,25,1,45,3,4,6,42,3,3,1,3,8,No,No,No,No,No,No,3,11,0,34,Middle,2835,Single,Basic,59,17,0
22518,Lower,1,0,36,11,7,12,2,2,27,2,2,1,2,5,Yes,No,No,No,No,No,3,11,1,34,Middle,2774,Married,Graduation,34,7,1
38197,Lower-middle,1,0,86,23,0,11,2,1,3,1,1,0,3,5,No,No,No,No,No,No,3,11,0,34,Middle,2524,Together,PhD,37,34,0
20491,Lower,0,0,16,5,4,5,4,2,10,1,0,1,2,7,No,No,No,No,No,No,3,11,0,34,Middle,2679,Together,2nd Cycle,20,10,0
